symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step,method
sans_gr30_omc,Optimum Moisture Content,,%,in,,,,,,,20
sans_gr30_sm1,Sample Mass,,grams,in,,,,,,,20
sans_gr30_pa1,Percentage Added,,%,in,,,,,,,20
sans_gr30_mm1,Mould Mass,,grams,in,,,,,,,20
sans_gr30_mwm1,Mould Plus Wet Mass,,grams,in,,,,,,,20
sans_gr30_pwmp1,Pan Wet Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pdmp1,Pan Dry Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pm1,Pan Mass,,grams,in,,,,,,,20
sans_gr30_pn2,Pan Number,,string,in,,,,,,,20
sans_gr30_mdd,Maximum Dry Density,,kg/m<sup>3</sup>,in,,,,,,,20
sans_gr30_sm3,Sample Mass,,grams,in,,,,,,,20
sans_gr30_pa3,Percentage Added,,%,in,,,,,,,20
sans_gr30_mm3,Mould Mass,,grams,in,,,,,,,20
sans_gr30_mwm3,Mould Plus Wet Mass,,grams,in,,,,,,,20
sans_gr30_pwmp3,Pan Wet Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pdmp3,Pan Dry Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pm3,Pan Mass,,grams,in,,,,,,,20
sans_gr30_sm4,Sample Mass,,grams,in,,,,,,,20
sans_gr30_pa4,Percentage Added,,%,in,,,,,,,20
sans_gr30_mm4,Mould Mass,,grams,in,,,,,,,20
sans_gr30_mwm4,Mould Plus Wet Mass,,grams,in,,,,,,,20
sans_gr30_pwmp4,Pan Wet Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pdmp4,Pan Dry Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pm4,Pan Mass,,grams,in,,,,,,,20
sans_gr30_sm5,Sample Mass,,grams,in,,,,,,,20
sans_gr30_pa5,Percentage Added,,%,in,,,,,,,20
sans_gr30_mm5,Mould Mass,,grams,in,,,,,,,20
sans_gr30_mwm5,Mould Plus Wet Mass,,grams,in,,,,,,,20
sans_gr30_pwmp5,Pan Wet Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pdmp5,Pan Dry Mass Plus Pan,,grams,in,,,,,,,20
sans_gr30_pm5,Pan Mass,,grams,in,,,,,,,20
sans_gr30_mn3,Mould Number,,string,in,,,,,,,20
sans_gr30_pn3,Pan Number,,string,in,,,,,,,20
sans_gr30_mn4,Mould Number,,string,in,,,,,,,20
sans_gr30_pn4,Pan Number,,string,in,,,,,,,20
sans_gr30_mn5,Mould Number,,string,in,,,,,,,20
sans_gr30_pn5,Pan Number,,string,in,,,,,,,20
