symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step,method
sans_gr1_fi,Final,,grams,in,,,,,,,13
sans_gr1_tsm,Total Sample Mass,,grams,in,,,,,,,13
sans_gr1_tp20,Total Passing 20mm Sieve,,grams,in,,,,,,,13
sans_gr1_rfp20,Riffled Fraction Passing 20mm Sieve,,grams,in,,,,,,,13
sans_gr1_is,Initial Sieve,,grams,in,,,,,,,13
sans_gr1_wa,Washed,,grams,in,,,,,,,13
sans_gr1_mr1,Mass Retained 1,,grams,in,,,,,,,13
sans_gr1_mr2,Mass Retained 2,,grams,in,,,,,,,13
sans_gr1_mr3,Mass Retained 3,,grams,in,,,,,,,13
sans_gr1_mr4,Mass Retained 4,,grams,in,,,,,,,13
sans_gr1_mr5,Mass Retained 5,,grams,in,,,,,,,13
sans_gr1_mr6,Mass Retained 6,,grams,in,,,,,,,13
sans_gr1_mr7,Mass Retained 7,,grams,in,,,,,,,13
sans_gr1_mr8,Mass Retained 8,,grams,in,,,,,,,13
sans_gr1_mr9,Mass Retained 9,,grams,in,,,,,,,13
sans_gr1_mr10,Mass Retained 10,,grams,in,,,,,,,13
sans_gr1_mr11,Mass Retained 11,,grams,in,,,,,,,13
sans_gr1_rf,Reduction factor,,factor,calc,1,0,10,(100*sans_gr1_tp20)/(sans_gr1_rfp20*sans_gr1_tsm),2600,,13
sans_gr1_mr12,Mass Passing Total,,grams,calc,,,,sans_gr1_is+sans_gr1_wa+sans_gr1_fi,2601,,13
sans_gr1_pr1,Percentage Retained 1,,%,calc,,,,(sans_gr1_mr1/sans_gr1_tsm)*100,2602,,13
sans_gr1_pr2,Percentage Retained 2,,%,calc,,,,(sans_gr1_mr2/sans_gr1_tsm)*100,2603,,13
sans_gr1_pr3,Percentage Retained 3,,%,calc,,,,(sans_gr1_mr3/sans_gr1_tsm)*100,2604,,13
sans_gr1_pr4,Percentage Retained 4,,%,calc,,,,(sans_gr1_mr4/sans_gr1_tsm)*100,2605,,13
sans_gr1_pr5,Percentage Retained 5,,%,calc,,,,(sans_gr1_mr5/sans_gr1_tsm)*100,2606,,13
sans_gr1_pr6,Percentage Retained 6,,%,calc,,,,(sans_gr1_mr6/sans_gr1_tsm)*100,2607,,13
sans_gr1_pr7,Percentage Retained 7,,%,calc,,,,(sans_gr1_mr7/sans_gr1_tsm)*100,2608,,13
sans_gr1_pr8,Percentage Retained 8,,%,calc,,,,sans_gr1_mr8*sans_gr1_rf,2609,,13
sans_gr1_pr9,Percentage Retained 9,,%,calc,,,,sans_gr1_mr9*sans_gr1_rf,2610,,13
sans_gr1_pr10,Percentage Retained 10,,%,calc,,,,sans_gr1_mr10*sans_gr1_rf,2611,,13
sans_gr1_pr11,Percentage Retained 11,,%,calc,,,,sans_gr1_mr11*sans_gr1_rf,2612,,13
sans_gr1_pr12,Percentage Retained Total,,%,calc,,,,sans_gr1_mr12*sans_gr1_rf,2613,,13
sans_gr1_cpp1,Cumulative Percentage Passing 1,,%,calc,,,,100-sans_gr1_pr1,2614,,13
sans_gr1_cpp2,Cumulative Percentage Passing 2,,%,calc,,,,sans_gr1_cpp1-sans_gr1_pr2,2615,,13
sans_gr1_cpp3,Cumulative Percentage Passing 3,,%,calc,,,,sans_gr1_cpp2-sans_gr1_pr3,2616,,13
sans_gr1_cpp4,Cumulative Percentage Passing 4,,%,calc,,,,sans_gr1_cpp3-sans_gr1_pr4,2617,,13
sans_gr1_cpp5,Cumulative Percentage Passing 5,,%,calc,,,,sans_gr1_cpp4-sans_gr1_pr5,2618,,13
sans_gr1_cpp6,Cumulative Percentage Passing 6,,%,calc,,,,sans_gr1_cpp5-sans_gr1_pr6,2619,,13
sans_gr1_cpp7,Cumulative Percentage Passing 7,,%,calc,,,,sans_gr1_cpp6-sans_gr1_pr7,2620,,13
sans_gr1_cpp8,Cumulative Percentage Passing 8,,%,calc,,,,sans_gr1_cpp7-sans_gr1_pr8,2621,,13
sans_gr1_cpp9,Cumulative Percentage Passing 9,,%,calc,,,,sans_gr1_cpp8-sans_gr1_pr9,2622,,13
sans_gr1_cpp10,Cumulative Percentage Passing 10,,%,calc,,,,sans_gr1_cpp9-sans_gr1_pr10,2623,,13
sans_gr1_cpp11,Cumulative Percentage Passing 11,,%,calc,,,,sans_gr1_cpp10-sans_gr1_pr11,2624,,13
