symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step,method
sans_gr20_dm1,Dry Mass,,grams,in,,,,,,,19
sans_gr20_nop,Number of Method Samples,,number,in,1,1,3,,,1,19
sans_gr20_pn1,Pan Number,,string,in,,,,,,,19
sans_gr20_wm1,Wet Mass,,grams,in,,,,,,,19
sans_gr20_pm1,Pan Mass,,grams,in,,,,,,,19
sans_gr20_pn3,Pan Number,,string,in,,,,,,,19
sans_gr20_wm3,Wet Mass,,grams,in,,,,,,,19
sans_gr20_dm3,Dry Mass,,grams,in,,,,,,,19
sans_gr20_pm3,Pan Mass,,grams,in,,,,,,,19
sans_gr20_pn2,Pan Number,,string,in,,,,,,,19
sans_gr20_wm2,Wet Mass,,grams,in,,,,,,,19
sans_gr20_dm2,Dry Mass,,grams,in,,,,,,,19
sans_gr20_pm2,Pan Mass,,grams,in,,,,,,,19
sans_gr20_mcs1,Moisture Content of Soil,,%,calc,,,,((100*(sans_gr20_wm1-sans_gr20_dm1))/(sans_gr20_dm1-sans_gr20_pm1)),3200,,19
sans_gr20_mcs2,Moisture Content of Soil,,%,calc,,,,((100*(sans_gr20_wm2-sans_gr20_dm2))/(sans_gr20_dm2-sans_gr20_pm2)),3201,,19
sans_gr20_mcs3,Moisture Content of Soil,,%,calc,,,,((100*(sans_gr20_wm3-sans_gr20_dm3))/(sans_gr20_dm3-sans_gr20_pm3)),3202,,19
sans_gr20_avg,Average Moisture Content of Soil,,%,calc,,,,(sans_gr20_mcs1+sans_gr20_mcs2+sans_gr20_mcs3)/sans_gr20_nop,3203,,19
