"symbol","label","description","unit","input_type","formula","calculation_order"
"ll_avg","Liquid Limit Average",,"%","calc","(ll_ll1+ll_ll2+ll_ll3)/ll_nop",203
"pl_co","Created On",,"datetime","na",,
"pl_cb","Created By",,"number","na",,
"pl_cho","Checked On",,"datetime","na",,
"pl_chb","Checked By",,"number","na",,
"pl_ao","Approved On",,"datetime","na",,
"pl_ab","Approved By",,"number","na",,
"pl_nop","Number of Points",,"number","in",,
"pl_pn1","Pan Number",,"number","in",,
"pl_wm1","Wet Mass",,"grams","in",,
"pl_dm1","Dry Mass",,"grams","in",,
"pl_pm1","Pan Mass",,"grams","in",,
"pl_pl1","Plastic Limit",,"%","calc","((100*(pl_wm1-pl_dm1))/(pl_dm1-pl_pm1))",300
"pl_pn2","Pan Number",,"number","in",,
"pl_wm2","Wet Mass",,"grams","in",,
"pl_dm2","Dry Mass",,"grams","in",,
"pl_pm2","Pan Mass",,"grams","in",,
"pl_pl2","Plastic Limit",,"%","calc","((100*(pl_wm2-pl_dm2))/(pl_dm-pl_pm2))",301
"pl_pn3","Pan Number",,"number","in",,
"pl_wm3","Wet Mass",,"grams","in",,
"pl_dm3","Dry Mass",,"grams","in",,
"pl_pm3","Pan Mass",,"grams","in",,
"pl_pl3","Plastic Limit",,"%","calc","((100*(pl_wm3-pl_dm3))/(pl_dm-pl_pm3))",302
"pl_avg","Plastic Limit Average",,"%","calc","(pl_pl1+pl_pl2+pl_pl3)/pl_nop",303
"pl_pi","Plasticity Index",,"index","calc","ll_avg-pl_avg",304
"ls_co","Created On",,"datetime","na",,
"ls_cb","Created By",,"number","na",,
"ls_cho","Checked On",,"datetime","na",,
"ls_chb","Checked By",,"number","na",,
"ls_ao","Approved On",,"datetime","na",,
"ls_ab","Approved By",,"number","na",,
"ls_tn","Trough Number",,"number","in",,
"ls_bl","Blows",,"number","in",,
"ls_ls","Linear Shrinkage",,"mm","in",,
"ls_pls","Percentage Linear Shrinkage",,"%","calc","( (150-ls_ls)*(100/150) )*( 0.8/(1-0.008*ls_bl))",400
"sm_co","Created On",,"datetime","na",,
"sm_cb","Created By",,"number","na",,
"sm_cho","Checked On",,"datetime","na",,
"sm_chb","Checked By",,"number","na",,
"sm_ao","Approved On",,"datetime","na",,
"sm_ab","Approved By",,"number","na",,
"sm_ism","Initial Sample Mass",,"grams","in",,
"sm_mr10","Mass Retained","0.075 mm","grams","in",,
"sm_pr10","Percentage Retained","0.075 mm","%","calc","(sm_mr10/sm_ism)*100",500
"sm_pp10","Percentage Passing","0.075 mm","%","calc","gr_pr_tot*((sm_ism-sm_mr10)/sm_ism)",501
"sm_fcs","Fraction Coarse Sand","Soil Mortar","%","calc","gr_cpp9-gr_pr10",502
"sm_ffs","Fraction Fine Sand","Soil Mortar","%","calc","gr_cpp10-gr_pr11",503
"sm_fm","Fraction","0.075 mm","%","calc","sm_pp10",504
"sm_pcs","Percentage Coarse Sand","Soil Mortar","%","calc","(sm_fcs*100)/(sm_fcs+sm_ffs+sm_fm)",505
"sm_pfs","Percentage Fine Sand","Soil Mortar","%","calc","(sm_ffs*100)/(sm_fcs+sm_ffs+sm_fm)",506
"sm_pfm","Percentage","0.075 mm","%","calc","(sm_fm*100)/(sm_fcs+sm_ffs+sm_fm)",507
"hd_co","Created On",,"datetime","na",,
"hd_cb","Created By",,"number","na",,
"hd_cho","Checked On",,"datetime","na",,
"hd_chb","Checked By",,"number","na",,
"hd_ao","Approved On",,"datetime","na",,
"hd_ab","Approved By",,"number","na",,
"hd_im","Input Mass",,"grams","in",,
"hd_tmp1","Temperature Before",,"celcius","in",,
"hd_18","Reading ","18 seconds",,"in",,
"hd_40","Reading ","40 seconds",,"in",,
"hd_tmp2","Temperature After",,"celcius","in",,
"hd_3600","Reading ","3600 seconds",,"in",,
"hd_c18","Corrected Reading ","18 seconds",,"calc","(hd_18*0.358-7.162)",600
"hd_c40","Corrected Reading ","40 seconds",,"calc","(hd_40*0.358-7.162)",601
"hd_c3600","Corrected Reading ","3600 seconds",,"calc","(hd_3600*0.358-7.162)",607
"mdd_co","Created On",,"datetime","na",,
